rally_id,match_id,game_id,rally_nbr,srv_team_id,srv_player_id,rtrn_team_id,rtrn_player_id,ts_player_id,ts_type,w_team_id,to_ind,to_team_id,rally_len,srv_switch_ind,rtrn_switch_ind,srv_team_flipped_ind,rtrn_team_flipped_ind,ending_type,ending_player_id,lob_cnt,dink_cnt,maint_dtm,maint_app,create_dtm,create_app
R615,M7,G14,2,T9,P1,T8,P14,P16,Drop,T8,N,N/A,15.0,N,N,N,N,Other,N/A,0,8,2022-07-11 02:40:50.630379+00:00,postgres,2022-07-11 02:40:50.630379+00:00,postgres
R617,M7,G14,4,T8,P14,T9,P1,P15,Drop,T9,N,N/A,17.0,N,N,N,N,Unforced Error,P14,1,11,2022-07-11 02:40:50.649057+00:00,postgres,2022-07-11 02:40:50.649057+00:00,postgres
R618,M7,G14,5,T8,P15,T9,P16,P15,Drive,T9,N,N/A,3.0,N,N,N,N,Unforced Error,P15,0,0,2022-07-11 02:40:50.658623+00:00,postgres,2022-07-11 02:40:50.658623+00:00,postgres
R620,M7,G14,7,T9,P1,T8,P15,P1,Drop,T9,N,N/A,6.0,Y,N,Y,N,Unforced Error,P15,0,0,2022-07-11 02:40:50.675176+00:00,postgres,2022-07-11 02:40:50.675176+00:00,postgres
R1794,M24,G38,1,T32,P50,T38,P59,P49,Drop,T38,N,N/A,7.0,N,N,N,N,Other,N/A,0,0,2022-10-16 19:22:34.961729+00:00,postgres,2022-10-16 19:22:34.961729+00:00,postgres
R625,M7,G14,12,T9,P1,T8,P15,P16,Drop,T8,N,N/A,9.0,Y,N,Y,N,Other,N/A,0,0,2022-07-11 02:40:50.685636+00:00,postgres,2022-07-11 02:40:50.685636+00:00,postgres
R626,M7,G14,13,T9,P16,T8,P14,P1,Drive,T8,N,N/A,3.0,Y,N,Y,N,Unforced Error,P1,0,0,2022-07-11 02:40:50.690835+00:00,postgres,2022-07-11 02:40:50.690835+00:00,postgres
R627,M7,G14,14,T8,P14,T9,P16,P14,Drop,T9,N,N/A,13.0,N,N,N,Y,Other,N/A,0,7,2022-07-11 02:40:50.692869+00:00,postgres,2022-07-11 02:40:50.692869+00:00,postgres
R2403,M29,G52,4,T5,P8,T13,P23,N/A,N/A,T13,N,N/A,1.0,N,N,N,N,Error,P8,0,0,2022-11-07 04:12:48.532609+00:00,aspancake,2022-11-07 04:12:48.532609+00:00,aspancake
R629,M7,G14,16,T8,P15,T9,P16,P14,Drop,T8,N,N/A,10.0,Y,N,Y,Y,Other,N/A,0,7,2022-07-11 02:40:50.703923+00:00,postgres,2022-07-11 02:40:50.703923+00:00,postgres
R630,M7,G14,17,T8,P15,T9,P1,P15,Drive,T9,N,N/A,9.0,N,N,N,Y,Other,N/A,0,1,2022-07-11 02:40:50.710117+00:00,postgres,2022-07-11 02:40:50.710117+00:00,postgres
R631,M7,G14,18,T9,P16,T8,P14,P1,Drop,T9,N,N/A,8.0,Y,N,Y,N,Unforced Error,P15,0,2,2022-07-11 02:40:50.715790+00:00,postgres,2022-07-11 02:40:50.715790+00:00,postgres
R633,M7,G14,20,T9,P16,T8,P14,P1,Drop,T8,N,N/A,3.0,Y,N,Y,N,Unforced Error,P1,0,0,2022-07-11 02:40:50.723736+00:00,postgres,2022-07-11 02:40:50.723736+00:00,postgres
R634,M7,G14,21,T9,P1,T8,P15,P1,Drop,T8,N,N/A,13.0,Y,N,Y,N,Other,N/A,1,8,2022-07-11 02:40:50.725797+00:00,postgres,2022-07-11 02:40:50.725797+00:00,postgres
R635,M7,G14,22,T8,P14,T9,P16,P14,Drop,T9,N,N/A,5.0,N,N,N,Y,Other,N/A,0,0,2022-07-11 02:40:50.735453+00:00,postgres,2022-07-11 02:40:50.735453+00:00,postgres
R636,M7,G14,23,T8,P15,T9,P1,P14,Drop,T8,N,N/A,4.0,N,N,N,Y,Unforced Error,P1,0,0,2022-07-11 02:40:50.738483+00:00,postgres,2022-07-11 02:40:50.738483+00:00,postgres
R637,M7,G14,24,T8,P15,T9,P16,P14,Drive,T9,N,N/A,5.0,Y,N,Y,Y,Other,N/A,0,0,2022-07-11 02:40:50.741075+00:00,postgres,2022-07-11 02:40:50.741075+00:00,postgres
R639,M7,G14,26,T9,P16,T8,P14,P16,Drop,T8,N,N/A,13.0,N,N,N,Y,Other,N/A,0,0,2022-07-11 02:40:50.755524+00:00,postgres,2022-07-11 02:40:50.755524+00:00,postgres
R640,M7,G14,27,T9,P1,T8,P15,P1,Drive,T8,N,N/A,7.0,N,N,N,Y,Unforced Error,P16,0,3,2022-07-11 02:40:50.765708+00:00,postgres,2022-07-11 02:40:50.765708+00:00,postgres
R641,M7,G14,28,T8,P15,T9,P1,P14,Drive,T9,N,N/A,25.0,N,N,Y,N,Other,N/A,0,7,2022-07-11 02:40:50.769732+00:00,postgres,2022-07-11 02:40:50.769732+00:00,postgres
R642,M7,G14,29,T8,P14,T9,P16,P14,Drop,T9,N,N/A,15.0,N,N,Y,N,Other,N/A,0,0,2022-07-11 02:40:50.783861+00:00,postgres,2022-07-11 02:40:50.783861+00:00,postgres
R643,M7,G14,30,T9,P1,T8,P15,P1,Drop,T8,N,N/A,15.0,N,N,N,Y,Other,N/A,0,0,2022-07-11 02:40:50.791790+00:00,postgres,2022-07-11 02:40:50.791790+00:00,postgres
R645,M7,G14,32,T8,P15,T9,P1,P14,Drop,T8,N,N/A,5.0,N,N,Y,N,Winner,P15,0,0,2022-07-11 02:40:50.819123+00:00,postgres,2022-07-11 02:40:50.819123+00:00,postgres
R646,M7,G14,33,T8,P15,T9,P16,P15,Drop,T9,N,N/A,33.0,N,N,N,N,Other,N/A,1,17,2022-07-11 02:40:50.822185+00:00,postgres,2022-07-11 02:40:50.822185+00:00,postgres
R647,M7,G14,34,T8,P14,T9,P1,P14,Drive,T8,N,N/A,12.0,Y,N,N,N,Unforced Error,P1,0,0,2022-07-11 02:40:50.844058+00:00,postgres,2022-07-11 02:40:50.844058+00:00,postgres
R648,M7,G14,35,T8,P14,T9,P16,P15,Drop,T9,N,N/A,5.0,N,N,Y,N,Unforced Error,P15,0,0,2022-07-11 02:40:50.852208+00:00,postgres,2022-07-11 02:40:50.852208+00:00,postgres
R747,M9,G17,1,T11,P19,T12,P21,P19,Drop,T12,N,N/A,11.0,N,N,N,N,Unforced Error,P20,0,3,2022-08-03 03:15:49.050274+00:00,postgres,2022-08-03 03:15:49.050274+00:00,postgres
