shot_id,rally_id,shot_nbr,shot_type_orig,shot_type,player_id,entry_ts,btt_before,btt_after,loc_x,loc_y,next_loc_x,next_loc_y,cst_model_id,whtb_model_id,maint_dtm,maint_app,create_dtm,create_app
S4,R1,4,O,,,,,,,,,,,,2022-04-09 03:19:33.873201+00:00,postgres,2022-04-09 03:19:33.873201+00:00,postgres
S5,R1,5,O,,,,,,,,,,,,2022-04-09 03:19:33.873546+00:00,postgres,2022-04-09 03:19:33.873546+00:00,postgres
S83,R10,4,O,,,,,,,,,,,,2022-04-09 03:19:33.903789+00:00,postgres,2022-04-09 03:19:33.903789+00:00,postgres
S84,R10,5,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 03:19:33.904145+00:00,postgres
S1063,R100,4,O,,,,,,,,,,,,2022-04-09 15:00:42.904904+00:00,postgres,2022-04-09 15:00:42.904904+00:00,postgres
S1064,R100,5,O,,,,,,,,,,,,2022-04-09 15:00:42.905217+00:00,postgres,2022-04-09 15:00:42.905217+00:00,postgres
S1084,R105,9,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.914258+00:00,postgres
S95,R12,5,O,,,,,,,,,,,,2022-04-09 03:19:33.909586+00:00,postgres,2022-04-09 03:19:33.909586+00:00,postgres
S1144,R111,19,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.935993+00:00,postgres
S1085,R105,10,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.914911+00:00,postgres
S1086,R105,11,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.915263+00:00,postgres
S1145,R111,20,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.936301+00:00,postgres
S1074,R104,4,O,,,,,,,,,,,,2022-04-09 15:00:42.910667+00:00,postgres,2022-04-09 15:00:42.910667+00:00,postgres
S1075,R104,5,O,,,,,,,,,,,,2022-04-09 15:00:42.910987+00:00,postgres,2022-04-09 15:00:42.910987+00:00,postgres
S1087,R105,12,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.915576+00:00,postgres
S11027,R1043,10,D,,,2022-08-21 18:56:35.435809,0.5834,,18.54,6.00,,,,,2022-08-22 01:14:33.344168+00:00,postgres,2022-08-22 01:14:33.344168+00:00,postgres
S1079,R105,4,O,,,,,,,,,,,,2022-04-09 15:00:42.912681+00:00,postgres,2022-04-09 15:00:42.912681+00:00,postgres
S1080,R105,5,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.913004+00:00,postgres
S1081,R105,6,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.913315+00:00,postgres
S1082,R105,7,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.913625+00:00,postgres
S1083,R105,8,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.913933+00:00,postgres
S1092,R106,4,SP,SP,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.917558+00:00,postgres
S1093,R106,5,O,,,,,,,,,,,,2022-04-09 15:00:42.917871+00:00,postgres,2022-04-09 15:00:42.917871+00:00,postgres
S1097,R108,4,O,,,,,,,,,,,,2022-04-09 15:00:42.919946+00:00,postgres,2022-04-09 15:00:42.919946+00:00,postgres
S1098,R108,5,O,,,,,,,,,,,,2022-04-09 15:00:42.920255+00:00,postgres,2022-04-09 15:00:42.920255+00:00,postgres
S1099,R108,6,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.920565+00:00,postgres
S1100,R108,7,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.920879+00:00,postgres
S1101,R108,8,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.921189+00:00,postgres
S1102,R108,9,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.921496+00:00,postgres
S1103,R108,10,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.921802+00:00,postgres
S1104,R108,11,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.922110+00:00,postgres
S1105,R108,12,D,D,,,,,,,,,,,2022-07-30 21:41:10.918407+00:00,aspancak,2022-04-09 15:00:42.922418+00:00,postgres
S1164,R111,39,O,,,,,,,,,,,,2022-04-09 15:00:42.942216+00:00,postgres,2022-04-09 15:00:42.942216+00:00,postgres
S24664,R2517,1,SE,,P35,2022-08-30 23:55:52.411235,,0.2173,6.24,21.43,5.28,22.08,,,2022-11-10 20:09:19.570971+00:00,aspancake,2022-11-10 20:09:19.570971+00:00,aspancake
S24665,R2517,2,R,,P33,2022-08-30 23:55:54.486668,0.2173,0.5203,5.28,22.08,3.34,21.43,,,2022-11-10 20:09:19.598491+00:00,aspancake,2022-11-10 20:09:19.598491+00:00,aspancake
S24666,R2517,3,tsDrp,,P35,2022-08-30 23:55:58.479186,0.5203,0.3029,3.34,21.43,4.47,8.38,,,2022-11-10 20:09:19.625863+00:00,aspancake,2022-11-10 20:09:19.625863+00:00,aspancake
