shot_type,shot_type_desc,maint_dtm,maint_app,create_dtm,create_app
SP,Speed Up,2022-04-09 16:14:14.491001+00:00,postgres,2022-04-09 16:14:14.491001+00:00,postgres
tsDrp,3rd Shot Drop,2022-04-09 16:14:14.491001+00:00,postgres,2022-04-09 16:14:14.491001+00:00,postgres
tsDrv,3rd Shot Drive,2022-04-09 16:14:14.491001+00:00,postgres,2022-04-09 16:14:14.491001+00:00,postgres
R,Return,2022-04-09 16:14:14.491001+00:00,postgres,2022-04-09 16:14:14.491001+00:00,postgres
SE,Serve,2022-04-09 16:14:14.491001+00:00,postgres,2022-04-09 16:14:14.491001+00:00,postgres
L,Lob,2022-04-09 16:14:14.491001+00:00,postgres,2022-04-09 16:14:14.491001+00:00,postgres
A,ATP,2022-04-09 16:14:14.491001+00:00,postgres,2022-04-09 16:14:14.491001+00:00,postgres
E,Ernie,2022-04-09 16:14:14.491001+00:00,postgres,2022-04-09 16:14:14.491001+00:00,postgres
D,Dink,2022-04-09 16:14:14.491001+00:00,postgres,2022-04-09 16:14:14.491001+00:00,postgres
O,Other,2022-04-09 16:14:14.491001+00:00,postgres,2022-04-09 16:14:14.491001+00:00,postgres
HB,Hand Battle,2022-08-01 01:46:20.506967+00:00,postgres,2022-08-01 01:46:20.506967+00:00,postgres
tzApp,Transition Zone - Approach,2022-08-01 01:46:49.980603+00:00,postgres,2022-08-01 01:46:49.980603+00:00,postgres
tzRep,Transition Zone - Repel,2022-08-01 01:46:49.980603+00:00,postgres,2022-08-01 01:46:49.980603+00:00,postgres
tsL,3rd Shot Lob,2022-04-09 16:14:14.491001+00:00,postgres,2022-04-09 16:14:14.491001+00:00,postgres
Res,Reset,2022-08-22 02:36:53.063444+00:00,postgres,2022-08-22 02:36:53.063444+00:00,postgres
U,Unknown,2022-09-11 16:51:06.185311+00:00,postgres,2022-09-11 16:51:06.185311+00:00,postgres
